instance_path,m,n,seed,exact_sol,exact_time,u1_sol,u2_sol,h_rho1_sol,h_rho2_sol,h_rho2_time
dataset_D1/m_07_n_18_seed_08.txt,7,18,8,2749,0.0946087,7433,3053,3024,2755,0.0447997
dataset_D1/m_07_n_18_seed_09.txt,7,18,9,3110,0.0758192,7605,3641,3411,3132,0.0376404
dataset_D1/m_07_n_20_seed_00.txt,7,20,0,3492,0.0896428,8975,4003,3949,3501,0.0377939
dataset_D1/m_07_n_20_seed_01.txt,7,20,1,3366,0.0850224,7770,3630,3659,3388,0.0420874
dataset_D1/m_07_n_20_seed_02.txt,7,20,2,3343,0.0938342,8815,4005,3801,3347,0.0329328
dataset_D1/m_07_n_20_seed_03.txt,7,20,3,3571,0.081197,8348,4369,4342,3631,0.03498
dataset_D1/m_07_n_20_seed_04.txt,7,20,4,3577,0.0978458,8864,3917,3830,3585,0.0492099
dataset_D1/m_07_n_20_seed_05.txt,7,20,5,3615,0.0825906,8305,4276,4220,3634,0.0419782
dataset_D1/m_07_n_20_seed_06.txt,7,20,6,3138,0.118746,8365,3473,3362,3161,0.0490761
dataset_D1/m_07_n_20_seed_07.txt,7,20,7,3462,0.099947,8630,4013,3884,3463,0.0351825
dataset_D1/m_07_n_20_seed_08.txt,7,20,8,3203,0.0996262,8457,3536,3466,3230,0.0460118
dataset_D1/m_07_n_20_seed_09.txt,7,20,9,3304,0.0977007,8522,3687,3727,3309,0.0422237
dataset_D1/m_07_n_22_seed_00.txt,7,22,0,3805,0.0945439,9990,4402,4250,3820,0.040402
dataset_D1/m_07_n_22_seed_01.txt,7,22,1,3504,0.125964,9919,3751,3816,3526,0.0546249
dataset_D1/m_07_n_22_seed_02.txt,7,22,2,3873,0.0908645,9142,4566,4446,3988,0.0408785
dataset_D1/m_07_n_22_seed_03.txt,7,22,3,3732,0.107203,9549,4229,3961,3732,0.0557309
dataset_D1/m_07_n_22_seed_04.txt,7,22,4,3839,0.106818,10254,4124,4121,3869,0.058252
dataset_D1/m_07_n_22_seed_05.txt,7,22,5,3503,0.0979833,9417,3907,3835,3508,0.0475574
dataset_D1/m_07_n_22_seed_06.txt,7,22,6,3621,0.102157,9481,4065,3979,3643,0.0478903
dataset_D1/m_07_n_22_seed_07.txt,7,22,7,3819,0.105568,10067,4222,4164,3829,0.0541861
dataset_D1/m_07_n_22_seed_08.txt,7,22,8,3530,0.114732,9631,3851,3788,3537,0.0606301
dataset_D1/m_07_n_22_seed_09.txt,7,22,9,3509,0.102143,9772,3732,3873,3526,0.0551674
dataset_D1/m_07_n_24_seed_00.txt,7,24,0,4265,0.0960475,10480,5170,4912,4287,0.0486388
dataset_D1/m_07_n_24_seed_01.txt,7,24,1,4005,0.0996021,10250,4662,4463,4051,0.0616083
dataset_D1/m_07_n_24_seed_02.txt,7,24,2,4402,0.0922251,10409,5068,4976,4422,0.0424986
dataset_D1/m_07_n_24_seed_03.txt,7,24,3,3950,0.103416,10091,4480,4404,3981,0.0586303
dataset_D1/m_07_n_24_seed_04.txt,7,24,4,4060,0.106119,10543,4509,4458,4077,0.0499156
dataset_D1/m_07_n_24_seed_05.txt,7,24,5,4265,0.102088,10393,4840,4733,4268,0.0462958
dataset_D1/m_07_n_24_seed_06.txt,7,24,6,4133,0.11014,10970,4601,4644,4153,0.0598479
dataset_D1/m_07_n_24_seed_07.txt,7,24,7,4096,0.115548,11016,4484,4464,4111,0.0519562
dataset_D1/m_07_n_24_seed_08.txt,7,24,8,4304,0.0944676,10618,4963,4798,4328,0.0491588
dataset_D1/m_07_n_24_seed_09.txt,7,24,9,4366,0.103368,11090,4938,4929,4377,0.0543877
dataset_D1/m_07_n_26_seed_00.txt,7,26,0,4389,0.14231,11943,4797,4634,4395,0.0806702
dataset_D1/m_07_n_26_seed_01.txt,7,26,1,4765,0.144935,11952,5363,5231,4789,0.0679853
dataset_D1/m_07_n_26_seed_02.txt,7,26,2,4302,0.117509,10932,4886,4854,4329,0.0604594
dataset_D1/m_07_n_26_seed_03.txt,7,26,3,4135,0.115422,10652,4621,4643,4169,0.0556418
dataset_D1/m_07_n_26_seed_04.txt,7,26,4,4290,0.109333,10685,5048,4830,4455,0.0576918
dataset_D1/m_07_n_26_seed_05.txt,7,26,5,4340,0.117176,10697,4863,4852,4354,0.0592713
dataset_D1/m_07_n_26_seed_06.txt,7,26,6,4440,0.121087,11737,5088,5029,4459,0.0658906
dataset_D1/m_07_n_26_seed_07.txt,7,26,7,4183,0.125069,11151,4873,4621,4189,0.0620125
dataset_D1/m_07_n_26_seed_08.txt,7,26,8,4630,0.120677,11294,5015,4956,4671,0.063287
dataset_D1/m_07_n_26_seed_09.txt,7,26,9,4621,0.0996725,10916,5406,5415,4707,0.0483085
dataset_D1/m_07_n_28_seed_00.txt,7,28,0,4554,0.129813,12424,5197,4974,4582,0.0606232
dataset_D1/m_07_n_28_seed_01.txt,7,28,1,4357,0.133661,12410,4665,4629,4383,0.0748386
dataset_D1/m_07_n_28_seed_02.txt,7,28,2,5170,0.101005,11857,5809,5782,5176,0.0471775
dataset_D1/m_07_n_28_seed_03.txt,7,28,3,4409,0.130985,11791,5024,4850,4426,0.060452
dataset_D1/m_07_n_28_seed_04.txt,7,28,4,4806,0.129242,12461,5275,5307,4841,0.0704444
dataset_D1/m_07_n_28_seed_05.txt,7,28,5,4961,0.0994437,11939,6146,6021,5017,0.0455254
dataset_D1/m_07_n_28_seed_06.txt,7,28,6,5106,0.10454,13339,5946,5826,5130,0.0541139
dataset_D1/m_07_n_28_seed_07.txt,7,28,7,5017,0.121524,11902,5660,5619,5048,0.059556
dataset_D1/m_07_n_28_seed_08.txt,7,28,8,4654,0.117047,11979,5486,5320,4669,0.0502714
dataset_D1/m_07_n_28_seed_09.txt,7,28,9,4683,0.123162,11902,5476,5266,4702,0.0606744
dataset_D1/m_07_n_30_seed_00.txt,7,30,0,4847,0.139625,13037,5395,5332,4903,0.075234
dataset_D1/m_07_n_30_seed_01.txt,7,30,1,4597,0.141939,12776,5364,5115,4622,0.0922208
dataset_D1/m_07_n_30_seed_02.txt,7,30,2,5054,0.136043,13116,5875,5569,5085,0.072636
dataset_D1/m_07_n_30_seed_03.txt,7,30,3,4526,0.164386,12924,4779,4762,4531,0.0867183
dataset_D1/m_07_n_30_seed_04.txt,7,30,4,4733,0.134436,12514,5433,5136,4750,0.063288
